Date,DTU,Sirifort,Shadipur,Dwarka,IHBAS,RK Puram,Mandir Marg,P0jabi bagh,Anand Vihar,Aya Nagar,IGI Air1rt-3,Burari Crossing,Pusa IMD
01-10-2018,1,0,1,1,0,1,0,1,1,1,0,1,0
02-10-2018,1,1,1,1,0,1,0,1,0,1,0,1,0
03-10-2018,1,0,1,1,0,0,0,0,1,1,0,1,0
04-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,0
05-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
06-10-2018,1,1,0,1,0,1,1,1,1,1,1,1,0
07-10-2018,1,1,1,1,0,1,1,1,1,0,1,1,0
08-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
09-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,0
10-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,0
11-10-2018,1,0,1,1,0,1,1,1,1,1,0,1,0
12-10-2018,1,0,1,1,0,1,1,1,1,0,0,1,0
13-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,0
14-10-2018,1,1,1,1,0,1,1,1,1,1,1,1,0
15-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,0
16-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,0
17-10-2018,1,1,1,1,0,1,1,1,1,1,1,1,0
18-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
19-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
20-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
21-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
22-10-2018,1,1,1,1,0,1,1,1,1,1,1,1,1
23-10-2018,1,1,1,1,0,1,1,1,1,1,1,1,1
24-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
25-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
26-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
27-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
28-10-2018,1,1,1,1,1,1,1,1,1,0,1,1,1
29-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
30-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
31-10-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
01-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
02-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
03-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
04-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
05-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
06-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
07-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
08-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
09-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
10-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
11-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
12-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
13-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
14-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
15-11-2018,1,1,0,1,1,1,1,1,1,1,1,1,1
16-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
17-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
18-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
19-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
20-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
21-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
22-11-2018,1,1,1,1,1,1,1,1,1,1,1,1,1
23-11-2018,1,1,1,1,1,0,0,0,0,0,0,0,0
24-11-2018,1,1,1,1,1,0,0,0,0,0,0,0,0
25-11-2018,1,1,1,1,1,0,0,0,0,0,0,0,0
26-11-2018,1,1,1,1,1,0,0,0,0,0,0,0,0
27-11-2018,1,1,1,1,1,0,0,0,0,0,0,0,0
28-11-2018,1,1,1,1,1,0,0,0,0,0,0,0,0
29-11-2018,0,0,1,0,0,0,0,0,0,0,0,0,0
30-11-2018,0,0,1,0,0,0,0,0,0,0,0,0,0
