Date,ITO,DTU,Sirifort,Shadipur,Dwarka,IHBAS,RK Puram,Mandir Marg,Pujabi bagh,Anand Vihar,Aya Nagar,IGI Air1rt-3,Burari Crossing,Pusa IMD
01-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,0
07-12-2017,1,1,1,1,1,0,1,1,1,1,1,1,1,0
08-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,0
15-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31-12-2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,0,1
02-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31-01-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
